from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
10860,12022,0,240,,
10860,12230,0,240,,
10860,12231,0,240,,
10860,12332,0,240,,
10860,8020,2,120,,
10860,8033,2,120,,
10865,10866,0,240,,
10865,10867,0,240,,
10865,12693,0,240,,
10865,4242,0,240,,
10865,4471,0,240,,
10865,4568,0,240,,
10865,8037,0,240,,
10865,989,0,240,,
10866,10865,0,240,,
10866,10866,2,120,,
10866,10867,0,240,,
10866,12693,0,240,,
10866,4242,2,120,,
10866,4459,0,240,,
10866,4471,0,240,,
10866,4568,2,120,,
10866,8037,0,240,,
10866,989,2,120,,
10867,8037,2,120,,
10874,7117,2,300,,
10879,10879,0,240,,
10879,10882,0,240,,
10879,4018,2,300,,
10879,4228,2,300,,
10880,10880,0,240,,
10880,10881,0,240,,
10880,11764,2,360,,
10880,11882,0,240,,
10880,5045,0,240,,
10880,5122,0,240,,
10880,5262,0,240,,
10880,5494,0,240,,
10880,5667,0,240,,
10880,5668,0,240,,
10880,5768,0,240,,
10880,5769,0,240,,
10880,5793,0,240,,
10880,5891,0,240,,
10880,6467,0,240,,
10880,8057,0,240,,
10880,8060,0,240,,
10881,10880,0,240,,
10881,11882,0,240,,
10881,5045,0,240,,
10881,5122,0,240,,
10881,5262,0,240,,
10881,5494,0,240,,
10881,5667,0,240,,
10881,5768,2,300,,
10881,5769,2,300,,
10881,5793,0,240,,
10881,5891,2,300,,
10882,10879,0,240,,
10882,10882,0,240,,
10882,4018,2,300,,
10884,10884,0,240,,
10884,5844,0,240,,
10884,8056,2,300,,
10884,8061,2,300,,
10885,10885,0,240,,
10885,10886,0,240,,
10885,10887,0,240,,
10885,10888,0,240,,
10885,10889,0,240,,
10885,10890,0,240,,
10885,10891,0,240,,
10885,10892,0,240,,
10885,12655,0,240,,
10885,12793,0,240,,
10886,10885,0,240,,
10886,10887,0,240,,
10886,10888,0,240,,
10886,10889,0,240,,
10886,10890,0,240,,
10886,10892,0,240,,
10886,12655,0,240,,
10886,12793,0,240,,
10888,10885,0,240,,
10888,10886,0,240,,
10888,10887,0,240,,
10888,10888,0,240,,
10888,10889,0,240,,
10888,10890,0,240,,
10888,10891,0,240,,
10888,10892,0,240,,
10888,12655,0,240,,
10888,12793,0,240,,
10890,10885,0,240,,
10890,10888,0,240,,
10890,10889,0,240,,
10890,12655,0,240,,
10890,12793,0,240,,
10891,10885,0,240,,
10891,10886,0,240,,
10891,10887,0,240,,
10891,10888,0,240,,
10891,10889,0,240,,
10891,10890,0,240,,
10891,10891,0,240,,
10891,10892,0,240,,
10891,12655,0,240,,
10891,12793,0,240,,
10892,10885,0,240,,
10892,10886,0,240,,
10892,10887,0,240,,
10892,10888,0,240,,
10892,10889,0,240,,
10892,10890,0,240,,
10892,10892,0,240,,
10892,12655,0,240,,
10893,10316,2,300,,
10893,12673,2,300,,
10893,7828,0,240,,
10895,779,2,480,,
1091,8753,2,300,,
1091,8762,2,300,,
10914,10914,0,240,,
10914,5148,0,240,,
10914,5252,0,240,,
10914,5890,0,240,,
10914,7639,0,240,,
10916,11664,2,480,,
10916,5180,0,240,,
10916,5183,2,360,,
10916,6060,2,360,,
10916,9720,2,480,,
1092,902,0,240,,
1092,915,0,240,,
10921,1685,2,300,,
10921,1736,2,300,,
10929,2203,0,240,,
10929,2252,0,240,,
10929,2397,0,240,,
10929,3535,0,240,,
10929,5989,0,240,,
10929,6984,0,240,,
10929,8052,0,240,,
10929,8065,0,240,,
10947,10947,0,240,,
10947,4461,0,240,,
10948,10914,0,240,,
10948,5148,0,240,,
10948,5252,0,240,,
10948,5890,0,240,,
10948,7639,0,240,,
10948,8055,0,240,,
10948,8062,0,240,,
10959,10961,2,300,,
10959,11759,2,420,,
10959,1896,2,420,,
10960,10958,2,420,,
10960,10961,2,360,,
10961,10958,2,300,,
10961,11759,2,360,,
10961,1896,2,420,,
10966,12976,2,360,,
10966,213,0,240,,
10966,548,2,360,,
10967,12976,2,360,,
10967,213,2,360,,
10967,548,2,360,,
10968,313,2,360,,
10968,365,0,240,,
10968,366,0,240,,
10969,313,2,360,,
10969,365,0,240,,
10971,10972,0,240,,
10971,8747,0,240,,
10971,8756,0,240,,
10971,9952,0,240,,
10972,10034,2,300,,
10972,10971,0,240,,
10972,10972,0,240,,
10972,8747,0,240,,
10972,8756,0,240,,
10972,9952,0,240,,
11,11427,2,300,,
11,11542,0,240,,
110,11113,0,240,,
110,322,0,240,,
110,569,0,240,,
11007,1312,0,240,,
11007,1350,0,240,,
11009,663,0,240,,
11009,706,0,240,,
11010,793,0,240,,
11010,842,0,240,,
11011,1312,0,240,,
11011,1350,0,240,,
11013,1042,0,240,,
11013,1105,0,240,,
11014,337,0,240,,
11014,463,2,300,,
11015,663,0,240,,
11015,706,0,240,,
11016,113,0,240,,
11016,56,0,240,,
11020,165,0,240,,
11020,251,0,240,,
11021,337,2,300,,
11021,463,2,300,,
11022,793,0,240,,
11022,842,0,240,,
11023,1042,0,240,,
11023,1105,0,240,,
11029,11029,0,240,,
11032,11032,0,240,,
11032,11998,0,240,,
1105,11013,2,300,,
1105,11023,0,240,,
11074,5456,0,240,,
11074,5516,0,240,,
11075,6051,0,240,,
11075,9023,0,240,,
11076,6051,0,240,,
11076,9022,0,240,,
11077,5474,2,360,,
11077,5498,2,360,,
11078,5474,2,360,,
11078,5498,2,360,,
1108,1514,0,240,,
1108,1596,0,240,,
11088,11227,2,360,,
11088,11278,2,300,,
11088,11279,2,300,,
11088,11352,2,300,,
11088,12548,2,300,,
11095,8752,2,300,,
11095,8761,2,300,,
11095,906,0,240,,
11095,911,0,240,,
11113,110,0,240,,
11113,569,2,300,,
11113,59,2,300,,
11113,60,0,240,,
11114,7645,2,540,,
11122,5561,0,240,,
11122,5623,0,240,,
11123,6019,2,300,,
11123,6073,0,240,,
11124,6019,2,300,,
11124,6073,0,240,,
11126,12196,2,300,,
11126,9291,0,240,,
11126,9293,2,360,,
11127,5025,2,300,,
11127,5067,0,240,,
11128,5138,0,240,,
11128,8542,0,240,,
11129,5138,0,240,,
11129,8542,0,240,,
11130,5025,2,300,,
11130,5067,0,240,,
11131,5651,0,240,,
11131,5683,0,240,,
11132,5651,0,240,,
11132,5683,0,240,,
11133,5715,0,240,,
11133,5729,0,240,,
11134,5715,0,240,,
11134,5729,0,240,,
11135,5756,0,240,,
11135,5781,0,240,,
11137,5918,0,240,,
11137,5961,0,240,,
1116,12631,2,300,,
1116,12632,2,300,,
11196,11199,0,240,,
11199,11196,0,240,,
1120,1971,0,240,,
1120,2062,2,300,,
11200,1769,2,300,,
11204,13054,0,240,,
11204,2264,0,240,,
11208,6486,0,240,,
11208,6566,0,240,,
11208,6802,0,240,,
11216,11695,0,240,,
11216,9087,0,240,,
11221,10360,2,360,,
11221,11088,2,300,,
11221,11221,0,240,,
11221,11227,0,240,,
11221,11260,2,420,,
11221,12764,2,360,,
11221,932,2,420,,
11227,10360,2,360,,
11227,11260,2,420,,
11243,11243,0,240,,
11243,11247,2,300,,
11243,11295,2,300,,
11243,11707,2,300,,
11243,12716,2,300,,
11243,6753,0,240,,
11247,11243,2,300,,
11247,11247,0,240,,
11247,11295,2,360,,
11247,11707,2,300,,
11247,12716,2,360,,
11247,6753,0,240,,
11248,11246,0,240,,
11248,11253,0,240,,
11248,11266,0,240,,
11248,11267,0,240,,
11248,11269,0,240,,
11248,11289,0,240,,
11248,11788,0,240,,
11251,11251,0,240,,
11251,11286,0,240,,
11251,11287,0,240,,
11252,11251,0,240,,
11252,11252,0,240,,
11252,11286,0,240,,
11252,11287,0,240,,
11254,11398,2,300,,
11254,6754,0,240,,
11255,11255,4,0,14873957,14873933
11255,11255,4,0,14873958,14873934
11255,11255,4,0,14873959,14873935
11255,11255,4,0,14873960,14873936
11255,11255,4,0,14873961,14873937
11255,11255,4,0,14873962,14873938
11255,11255,4,0,14873963,14873939
11255,11255,4,0,14873964,14873940
11255,11255,4,0,14873965,14873941
11255,11255,4,0,14873966,14873942
11255,11255,4,0,14873967,14873943
11255,11255,4,0,14873968,14873944
11255,11255,4,0,14873969,14873945
11255,11255,4,0,14873970,14873946
11255,11255,4,0,14873971,14873947
11255,11255,4,0,14873972,14873948
11255,11255,4,0,14873973,14873949
11255,11255,4,0,14873974,14873950
11255,11255,4,0,14873975,14873951
11255,11255,4,0,14873976,14873952
11255,11255,4,0,14873977,14873953
11255,11255,4,0,14873978,14873954
11255,11255,4,0,14873979,14873955
11255,11255,4,0,14873980,14873956
11255,11255,4,0,14874001,14873990
11255,11255,4,0,14874002,14873993
11255,11255,4,0,14874003,14873991
11255,11255,4,0,14874004,14873992
11255,11255,4,0,14874005,14873994
11255,11255,4,0,14874006,14873995
11255,11255,4,0,14874007,14873996
11255,11255,4,0,14874008,14873997
11255,11255,4,0,14874009,14873998
11255,11255,4,0,14874010,14873999
11255,11255,4,0,14874011,14874000
11255,11255,4,0,14874012,14873981
11255,11255,4,0,14874013,14873982
11255,11255,4,0,14874014,14873983
11255,11255,4,0,14874015,14873984
11255,11255,4,0,14874016,14873985
11255,11255,4,0,14874017,14873986
11255,11255,4,0,14874018,14873987
11255,11255,4,0,14874019,14873988
11255,11255,4,0,14874020,14873989
11256,11246,0,240,,
11256,11248,0,240,,
11256,11253,0,240,,
11256,11266,0,240,,
11256,11267,0,240,,
11256,11269,0,240,,
11256,11288,0,240,,
11256,11289,0,240,,
11256,11788,0,240,,
11258,10360,0,240,,
11258,11258,4,0,14840006,14833109
11258,11258,4,0,14840007,14833110
11258,11258,4,0,14840008,14833111
11258,11258,4,0,14840009,14833112
11258,11258,4,0,14840010,14833113
11258,11258,4,0,14840011,14833115
11258,11258,4,0,14840012,14833116
11258,11258,4,0,14840013,14833117
11258,11258,4,0,14840014,14833118
11258,11258,4,0,14840015,14833119
11258,11258,4,0,14840016,14833120
11258,11258,4,0,14840017,14833121
11258,11258,4,0,14840018,14833052
11258,11258,4,0,14840019,14833053
11258,11258,4,0,14840020,14833054
11258,11258,4,0,14840021,14833055
11258,11258,4,0,14840022,14833056
11258,11258,4,0,14840023,14833057
11258,11258,4,0,14840024,14833075
11258,11258,4,0,14840025,14833076
11258,11258,4,0,14840026,14833077
11258,11258,4,0,14840027,14833078
11258,11258,4,0,14840028,14833079
11258,11258,4,0,14840029,14833080
11258,11258,4,0,14840030,14833081
11258,11258,4,0,14840031,14833051
11258,11258,4,0,14840032,14833082
11258,11258,4,0,14840033,14833083
11258,11258,4,0,14840034,14833084
11258,11258,4,0,14840035,14833085
11258,11258,4,0,14840036,14833086
11258,11258,4,0,14840037,14833087
11258,11258,4,0,14840038,14833088
11258,11258,4,0,14840039,14833089
11258,11258,4,0,14840040,14833090
11258,11258,4,0,14840041,14833091
11258,11258,4,0,14840042,14833092
11258,11258,4,0,14840043,14833093
11258,11258,4,0,14840044,14833094
11258,11258,4,0,14840045,14833095
11258,11258,4,0,14840046,14833096
11258,11258,4,0,14840047,14833098
11258,11258,4,0,14840048,14833059
11258,11258,4,0,14840049,14833060
11258,11258,4,0,14840050,14833061
11258,11258,4,0,14840051,14833062
11258,11258,4,0,14840052,14833063
11258,11258,4,0,14840053,14833114
11258,11258,4,0,14840054,14833064
11258,11258,4,0,14840055,14833065
11258,11258,4,0,14840056,14833066
11258,11258,4,0,14840057,14833067
11258,11258,4,0,14840058,14833068
11258,11258,4,0,14840059,14833069
11258,11258,4,0,14840060,14833070
11258,11258,4,0,14840061,14833071
11258,11258,4,0,14840062,14833072
11258,11258,4,0,14840063,14833073
11258,11258,4,0,14840064,14833074
11258,11258,4,0,14840065,14833099
11258,11258,4,0,14840066,14833100
11258,11258,4,0,14840067,14833101
11258,11258,4,0,14840068,14833097
11258,11258,4,0,14840069,14833058
11258,11258,4,0,14840070,14833058
11258,11258,4,0,14840071,14833102
11258,11258,4,0,14840072,14833103
11258,11258,4,0,14840073,14833104
11258,11258,4,0,14840074,14833107
11258,11258,4,0,14840075,14833097
11258,11258,4,0,14840076,14833105
11258,11258,4,0,14840077,14833073
11258,11258,4,0,14840078,14833074
11258,11258,4,0,14840079,14833099
11258,11258,4,0,14840080,14833100
11258,11258,4,0,14840081,14833101
11258,11258,4,0,14840082,14833102
11258,11258,4,0,14840083,14833103
11258,11258,4,0,14840084,14833104
11258,11258,4,0,14840085,14833107
11258,11258,4,0,14840086,14833105
11258,11258,4,0,14840087,14833106
11258,11258,4,0,14840088,14833106
11258,11258,4,0,14840089,14833108
11258,11258,4,0,14840160,14833192
11258,11258,4,0,14840161,14833193
11258,11258,4,0,14840162,14833194
11258,11258,4,0,14840163,14833195
11258,11258,4,0,14840164,14833196
11258,11258,4,0,14840165,14833197
11258,11258,4,0,14840166,14833198
11258,11258,4,0,14840167,14833199
11258,11258,4,0,14840168,14833200
11258,11258,4,0,14840169,14833201
11258,11258,4,0,14840170,14833202
11258,11258,4,0,14840171,14833203
11258,11258,4,0,14840172,14833204
11258,11258,4,0,14840173,14833205
11258,11258,4,0,14840174,14833206
11258,11258,4,0,14840175,14833207
11258,11258,4,0,14840176,14833208
11258,11258,4,0,14840177,14833209
11258,11258,4,0,14840178,14833210
11258,11258,4,0,14840179,14833211
11258,11258,4,0,14840180,14833212
11258,11258,4,0,14840181,14833213
11258,11258,4,0,14840182,14833214
11258,11258,4,0,14840183,14833215
11258,11258,4,0,14840184,14833216
11258,11258,4,0,14840185,14833217
11258,11258,4,0,14840186,14833218
11258,11258,4,0,14840187,14833219
11258,11258,4,0,14840188,14833220
11258,11258,4,0,14840189,14833221
11258,11258,4,0,14840190,14833222
11258,11258,4,0,14840191,14833223
11258,11258,4,0,14840192,14833224
11258,11258,4,0,14840193,14833225
11258,11258,4,0,14840194,14833226
11258,11258,4,0,14840195,14833227
11258,11258,4,0,14840196,14833228
11258,11258,4,0,14840197,14833229
11258,11258,4,0,14840198,14833230
11258,11258,4,0,14840199,14833231
11258,11258,4,0,14840200,14833232
11258,11258,4,0,14840201,14833233
11258,11258,4,0,14840202,14833234
11258,11258,4,0,14840203,14833235
11258,11258,4,0,14840204,14833236
11258,11258,4,0,14840205,14833237
11258,11258,4,0,14840206,14833238
11258,11258,4,0,14840207,14833239
11258,11258,4,0,14840208,14833240
11258,11258,4,0,14840209,14833241
11258,11258,4,0,14840210,14833242
11258,11258,4,0,14840211,14833243
11258,11258,4,0,14840212,14833244
11258,11258,4,0,14840213,14833245
11258,11258,4,0,14840214,14833246
11258,11258,4,0,14840215,14833247
11258,11258,4,0,14840216,14833248
11258,11258,4,0,14840217,14833249
11258,11258,4,0,14840218,14833250
11258,11258,4,0,14840219,14833251
11258,11258,4,0,14840220,14833252
11258,11258,4,0,14840221,14833253
11258,11258,4,0,14840222,14833254
11258,11258,4,0,14840223,14833255
11258,11258,4,0,14840224,14833256
11258,11258,4,0,14840225,14833257
11258,11258,4,0,14840226,14833258
11258,11258,4,0,14840227,14833259
11258,11258,4,0,14840228,14833260
11258,11258,4,0,14840229,14833261
11258,11258,4,0,14840294,14833326
11258,11258,4,0,14840295,14833327
11258,11258,4,0,14840296,14833328
11258,11258,4,0,14840297,14833329
11258,11258,4,0,14840298,14833330
11258,11258,4,0,14840299,14833331
11258,11258,4,0,14840300,14833332
11258,11258,4,0,14840301,14833333
11258,11258,4,0,14840302,14833334
11258,11258,4,0,14840303,14833335
11258,11258,4,0,14840304,14833336
11258,11258,4,0,14840305,14833337
11258,11258,4,0,14840306,14833338
11258,11258,4,0,14840307,14833339
11258,11258,4,0,14840308,14833340
11258,11258,4,0,14840309,14833341
11258,11258,4,0,14840310,14833342
11258,11258,4,0,14840311,14833343
11258,11258,4,0,14840312,14833344
11258,11258,4,0,14840313,14833345
11258,11258,4,0,14840314,14833346
11258,11258,4,0,14840315,14833347
11258,11258,4,0,14840316,14833348
11258,11258,4,0,14840317,14833349
11258,11258,4,0,14840318,14833350
11258,11258,4,0,14840319,14833351
11258,11258,4,0,14840320,14833352
11258,11258,4,0,14840321,14833353
11258,11258,4,0,14840322,14833354
11258,11258,4,0,14840323,14833355
11258,11258,4,0,14840324,14833356
11258,11258,4,0,14840325,14833357
11258,11258,4,0,14840326,14833358
11258,11258,4,0,14840327,14833359
11258,11258,4,0,14840328,14833360
11258,11258,4,0,14840329,14833361
11258,11258,4,0,14840330,14833362
11258,11258,4,0,14840331,14833363
11258,11258,4,0,14840332,14833364
11258,11258,4,0,14840333,14833365
11258,11258,4,0,14840334,14833366
11258,11258,4,0,14840335,14833367
11258,11258,4,0,14840336,14833368
11258,11258,4,0,14840337,14833369
11258,11258,4,0,14840338,14833370
11258,11258,4,0,14840339,14833371
11258,11258,4,0,14840340,14833372
11258,11258,4,0,14840341,14833373
11258,11258,4,0,14840342,14833374
11258,11258,4,0,14840343,14833375
11258,11258,4,0,14840344,14833376
11258,11258,4,0,14840345,14833377
11258,11258,4,0,14840346,14833378
11258,11258,4,0,14840347,14833379
11258,11258,4,0,14840348,14833380
11258,11258,4,0,14840349,14833381
11258,11258,4,0,14840350,14833382
11258,11258,4,0,14840351,14833383
11258,11258,4,0,14840352,14833384
11258,11258,4,0,14840353,14833385
11258,11258,4,0,14840354,14833386
11258,11258,4,0,14840355,14833387
11258,11258,4,0,14840356,14833388
11258,11258,4,0,14840357,14833389
11258,11258,4,0,14840358,14833390
11258,11258,4,0,14840359,14833391
11258,11276,2,360,,
11258,11277,2,300,,
11259,12232,2,360,,
11259,12240,2,360,,
11260,10360,0,240,,
11260,11221,2,420,,
11260,11227,2,420,,
11260,11258,0,240,,
11260,11260,0,240,,
11260,11260,4,0,14832981,14839938
11260,11260,4,0,14832982,14839980
11260,11260,4,0,14832983,14839981
11260,11260,4,0,14832984,14839982
11260,11260,4,0,14832985,14839983
11260,11260,4,0,14832986,14839984
11260,11260,4,0,14832987,14839985
11260,11260,4,0,14832988,14839986
11260,11260,4,0,14832989,14839987
11260,11260,4,0,14832990,14839988
11260,11260,4,0,14832991,14839929
11260,11260,4,0,14832992,14839989
11260,11260,4,0,14832993,14839991
11260,11260,4,0,14832994,14839992
11260,11260,4,0,14832995,14839993
11260,11260,4,0,14832996,14839994
11260,11260,4,0,14832997,14839995
11260,11260,4,0,14832998,14839996
11260,11260,4,0,14832999,14839997
11260,11260,4,0,14833000,14839998
11260,11260,4,0,14833001,14839999
11260,11260,4,0,14833002,14840000
11260,11260,4,0,14833003,14840001
11260,11260,4,0,14833004,14840002
11260,11260,4,0,14833005,14840003
11260,11260,4,0,14833006,14840004
11260,11260,4,0,14833007,14840005
11260,11260,4,0,14833008,14839923
11260,11260,4,0,14833009,14839924
11260,11260,4,0,14833010,14839925
