service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20260105,20260419
1,1,1,1,1,1,0,0,20260105,20260419
101,0,0,0,0,0,0,0,20260105,20260419
1101,0,0,0,0,0,0,0,20260105,20260419
1201,0,0,0,0,0,0,0,20260105,20260419
152201,0,0,0,0,0,0,0,20260105,20260419
152301,0,0,0,0,0,0,0,20260105,20260419
155601,0,0,0,0,0,0,0,20260105,20260419
162503,0,0,0,0,0,0,0,20260105,20260419
162601,0,0,0,0,0,0,0,20260105,20260419
169801,0,0,0,0,0,0,0,20260105,20260419
1803,0,0,0,0,0,0,0,20260105,20260419
1901,0,0,0,0,0,0,0,20260105,20260419
2,0,0,0,0,0,1,0,20260105,20260419
2001,0,0,0,0,0,0,0,20260105,20260419
201,0,0,0,0,0,0,0,20260105,20260419
253403,0,0,0,0,0,0,0,20260105,20260419
259701,0,0,0,0,0,0,0,20260105,20260419
259702,0,0,0,0,0,0,0,20260105,20260419
259703,0,0,0,0,0,0,0,20260105,20260419
3,0,0,0,0,0,0,1,20260105,20260419
32603,0,0,0,0,0,0,0,20260105,20260419
401,0,0,0,0,0,0,0,20260105,20260419
62101,0,0,0,0,0,0,0,20260105,20260419
62201,0,0,0,0,0,0,0,20260105,20260419
701,0,0,0,0,0,0,0,20260105,20260419
801,0,0,0,0,0,0,0,20260105,20260419
92501,0,0,0,0,0,0,0,20260105,20260419
